      WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,iMediate - 2012,10-09-12 09:00,19-12-12 09:00,3mo 2w 2d,1mo 1w 1d 1h 36m,0%,,,,,,,30-07-12 09:00,,,,,,
1.1,Media Markt Magazines,17-10-12 09:00,19-12-12 09:00,2mo 1w,0s,0%,,,,,,,30-07-12 09:00,,,,,,
1.1.1,Media markt Editie 10 - November,17-10-12 09:00,17-10-12 09:00,0s,0s,0%,,,,,,,,,,,,,
1.1.1.1,Oplevering Media markt Editie 10 - November,17-10-12 09:00,17-10-12 09:00,0s,0s,0%,,Michel,,,,,17-10-12 09:00,,,,0,,
1.1.2,Media markt Editie 11 - December,21-11-12 09:00,21-11-12 09:00,0s,0s,0%,,,,,,,,,,,,,
1.1.2.1,Oplevering Media markt Editie 1 - December,21-11-12 09:00,21-11-12 09:00,0s,0s,0%,,Martijn,,,,,21-11-12 09:00,,,,0,,
1.1.3,Media markt Editie 1 - Januari 2013,19-12-12 09:00,19-12-12 09:00,0s,0s,0%,,,,,,,,,,,,,
1.1.3.1,Oplevering Media markt Editie 1 - Januari,19-12-12 09:00,19-12-12 09:00,0s,0s,100%,,Martijn,,,,,19-12-12 09:00,,,,0,,
1.2,Saturn Magazines,10-09-12 09:00,23-11-12 10:36,2mo 2w 4d 1h 36m,1mo 1w 1d 1h 36m,0%,,,,,,,01-08-12 09:00,,,,,,
1.2.1,Oplevering Saturn Magazine Editie 3 - Click & Surf,10-09-12 09:00,19-09-12 17:00,1w 3d,1w 3d,0%,,Michel,,,,,06-09-12 09:00,,,,0,,
1.2.2,Oplevering Saturn Magazine Editie 2 - Watch & Listen,10-09-12 09:00,24-09-12 17:00,2w 1d,2w 1d,0%,,Robin,,,,,06-09-12 09:00,,,,0,,
1.2.3,Oplevering Saturn Magazine Editie 2 - December,14-11-12 09:00,23-11-12 10:36,1w 2d 1h 36m,1w 2d 1h 36m,0%,,Robin,,,,,14-11-12 09:00,,,,0,,
2,Provincie Noord-Brabant,31-07-12 09:00,13-09-12 09:00,1mo 2w 2d,2mo 2d 4h 57m 36s,0%,,,,,,,23-07-12 09:00,,,,,,
2.1,Brabant Magazine 6 - Doorloop,31-07-12 09:00,13-09-12 09:00,1mo 2w 2d,1mo 3w 1d 1h 45m 36s,0%,,,,,,,23-07-12 09:00,,,,,,
2.1.1,Brabant Magazine 6 - Feedback ontwerpen doorvoeren,31-07-12 09:00,01-08-12 13:48,1d 4h 48m,3d 1h 36m,0%,,Robin {50% of 100%}; Michel {50% of 100%}; Mark,,,,,31-07-12 09:00,,,,0,,
2.1.2,Brabant Magazine 6 - Ontwerp defintief,03-08-12 09:00,03-08-12 09:00,0s,0s,0%,,Robin {50% of 100%}; Michel {50% of 100%}; Mark,,,,,03-08-12 09:00,,15,,0,,
